transaction_id,sender_id,receiver_id,amount,timestamp
TX_C1,ACC_C1,ACC_C2,500.00,2023-01-01 10:00:00
TX_C2,ACC_C2,ACC_C3,500.00,2023-01-01 10:15:00
TX_C3,ACC_C3,ACC_C1,500.00,2023-01-01 10:30:00
TX_S1,ACC_S1,ACC_R1,100.00,2023-01-02 09:01:00
TX_S2,ACC_S2,ACC_R1,100.00,2023-01-02 09:02:00
TX_S3,ACC_S3,ACC_R1,100.00,2023-01-02 09:03:00
TX_S4,ACC_S4,ACC_R1,100.00,2023-01-02 09:04:00
TX_S5,ACC_S5,ACC_R1,100.00,2023-01-02 09:05:00
TX_S6,ACC_S6,ACC_R1,100.00,2023-01-02 09:06:00
TX_S7,ACC_S7,ACC_R1,100.00,2023-01-02 09:07:00
TX_S8,ACC_S8,ACC_R1,100.00,2023-01-02 09:08:00
TX_S9,ACC_S9,ACC_R1,100.00,2023-01-02 09:09:00
TX_S10,ACC_S10,ACC_R1,100.00,2023-01-02 09:10:00
TX_S11,ACC_S11,ACC_R1,100.00,2023-01-02 09:11:00
TX_S12,ACC_S12,ACC_R1,100.00,2023-01-02 09:12:00
TX_L1,ACC_L1,ACC_L2,1000.00,2023-01-03 12:00:00
TX_L2,ACC_L2,ACC_L3,990.00,2023-01-03 12:10:00
TX_L3,ACC_L3,ACC_L4,980.00,2023-01-03 12:20:00
TX_N0,ACC_N0,ACC_N1,50.00,2023-01-05 10:00:00
TX_N1,ACC_N1,ACC_N2,50.00,2023-01-05 10:00:00
TX_N2,ACC_N2,ACC_N3,50.00,2023-01-05 10:00:00
TX_N3,ACC_N3,ACC_N4,50.00,2023-01-05 10:00:00
TX_N4,ACC_N4,ACC_N5,50.00,2023-01-05 10:00:00
TX_N5,ACC_N5,ACC_N6,50.00,2023-01-05 10:00:00
TX_N6,ACC_N6,ACC_N7,50.00,2023-01-05 10:00:00
TX_N7,ACC_N7,ACC_N8,50.00,2023-01-05 10:00:00
TX_N8,ACC_N8,ACC_N9,50.00,2023-01-05 10:00:00
TX_N9,ACC_N9,ACC_N10,50.00,2023-01-05 10:00:00
TX_N10,ACC_N10,ACC_N11,50.00,2023-01-05 10:00:00
TX_N11,ACC_N11,ACC_N12,50.00,2023-01-05 10:00:00
TX_N12,ACC_N12,ACC_N13,50.00,2023-01-05 10:00:00
TX_N13,ACC_N13,ACC_N14,50.00,2023-01-05 10:00:00
TX_N14,ACC_N14,ACC_N15,50.00,2023-01-05 10:00:00
TX_N15,ACC_N15,ACC_N16,50.00,2023-01-05 10:00:00
TX_N16,ACC_N16,ACC_N17,50.00,2023-01-05 10:00:00
TX_N17,ACC_N17,ACC_N18,50.00,2023-01-05 10:00:00
TX_N18,ACC_N18,ACC_N19,50.00,2023-01-05 10:00:00
TX_N19,ACC_N19,ACC_N20,50.00,2023-01-05 10:00:00
TX_N20,ACC_N20,ACC_N21,50.00,2023-01-05 10:00:00
TX_N21,ACC_N21,ACC_N22,50.00,2023-01-05 10:00:00
TX_N22,ACC_N22,ACC_N23,50.00,2023-01-05 10:00:00
TX_N23,ACC_N23,ACC_N24,50.00,2023-01-05 10:00:00
TX_N24,ACC_N24,ACC_N25,50.00,2023-01-05 10:00:00
TX_N25,ACC_N25,ACC_N26,50.00,2023-01-05 10:00:00
TX_N26,ACC_N26,ACC_N27,50.00,2023-01-05 10:00:00
TX_N27,ACC_N27,ACC_N28,50.00,2023-01-05 10:00:00
TX_N28,ACC_N28,ACC_N29,50.00,2023-01-05 10:00:00
TX_N29,ACC_N29,ACC_N30,50.00,2023-01-05 10:00:00
TX_N30,ACC_N30,ACC_N31,50.00,2023-01-05 10:00:00
TX_N31,ACC_N31,ACC_N32,50.00,2023-01-05 10:00:00
TX_N32,ACC_N32,ACC_N33,50.00,2023-01-05 10:00:00
TX_N33,ACC_N33,ACC_N34,50.00,2023-01-05 10:00:00
TX_N34,ACC_N34,ACC_N35,50.00,2023-01-05 10:00:00
TX_N35,ACC_N35,ACC_N36,50.00,2023-01-05 10:00:00
TX_N36,ACC_N36,ACC_N37,50.00,2023-01-05 10:00:00
TX_N37,ACC_N37,ACC_N38,50.00,2023-01-05 10:00:00
TX_N38,ACC_N38,ACC_N39,50.00,2023-01-05 10:00:00
TX_N39,ACC_N39,ACC_N40,50.00,2023-01-05 10:00:00
TX_N40,ACC_N40,ACC_N41,50.00,2023-01-05 10:00:00
TX_N41,ACC_N41,ACC_N42,50.00,2023-01-05 10:00:00
TX_N42,ACC_N42,ACC_N43,50.00,2023-01-05 10:00:00
TX_N43,ACC_N43,ACC_N44,50.00,2023-01-05 10:00:00
TX_N44,ACC_N44,ACC_N45,50.00,2023-01-05 10:00:00
TX_N45,ACC_N45,ACC_N46,50.00,2023-01-05 10:00:00
TX_N46,ACC_N46,ACC_N47,50.00,2023-01-05 10:00:00
TX_N47,ACC_N47,ACC_N48,50.00,2023-01-05 10:00:00
TX_N48,ACC_N48,ACC_N49,50.00,2023-01-05 10:00:00
TX_N49,ACC_N49,ACC_N50,50.00,2023-01-05 10:00:00
